Country,Total Confirmed Cases/Population,Recovered/Population,Total Deaths/Population,total_tests/Population,Population Density (Square KM),No. of Doctors per thousands,Per capita CO₂ emissions (tonnes per capita),Average precipitation in depth (mm per year) (mm per year),Population ,HDI INDEX,LITERACY RATE,LIFE EXPENTANCY,total expendature on ealth (% of GDP),Median Age,GDP per capita (int.-$) ($),"Age dependency ratio, old (% of working-age population) (% of working-age population)",Unemployment Rate,"Population, female (% of total) (% of total)","Alcohol consumption (litres per capita) (liters of pure alcohol, projected estimates, 15+ years of age)",Urban population/Population,Urban population,Rural population/Population,Rural population,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),"DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000)",Healthcare Expenditure per capita (int.-$) (constant 2011 international $),World Happiness Report 2016 (Cantril Ladder (0=worst; 10=best)),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Secondhand smoke (deaths),High blood sugar (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Air pollution (outdoor & indoor) (deaths),handwashing_facilities,hospital_beds_per_100k,Testing policy (OxBSG),aged_65_older,aged_70_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,Smoker
Afghanistan,0.102,0.098,0.004,0.292,54.42,0.32,0.37,327,38928000,0.5,39.17,64.83,8.38,18.6,1929,4.76,8.84,48.47,0.2,23.05,8971345,68.23,26558736,48.88,184.12,301.68,1555.32,56925.15,38042000,2.69,3783.11,4156.21,19397.38,5459.17,27534.68,19254.96,33345.02,9241.25,1035.21,807.83,4442.33,26054.2,37.75,0.5,1,2.58,1.34,0,597.03,9.59,0
Albania,0.518,0.503,0.014,3.176,104.87,0.32,2.18,1485,2878000,0.79,98.55,78.57,6.08,38,11285,19,13.87,49.52,7.5,59.29,1706345,40.55,1167112,237.68,208,958.77,1788.55,23013.69,2881000,5,1.6,4.5,736.88,592.12,2992.68,2635.44,7246.03,4161.16,0.67,0.54,5.56,1638.57,0,2.89,2,13.19,8.64,1.1,304.2,10.08,58.3
Algeria,0.12,0.116,0.004,0.12,17.35,0.32,3.64,89,43851000,0.75,80.61,76.88,7.41,29.1,13328,9.63,10.13,49.5,0.9,67.89,29770548,26.33,11547594,99.96,267.88,688.95,2239.21,24307.38,43053000,5.04,58.91,191.73,58.11,5257.5,32278.76,29338.76,43660.56,18609.93,137.53,10.86,61.65,13222.28,83.74,1.9,0,6.21,3.86,0.5,278.36,6.73,31.1
Argentina,1.895,1.845,0.05,4.793,16.18,0.32,4.62,591,45196000,0.83,99.09,76.67,4.99,31.9,18695,17.52,8.52,51.06,9.8,89.87,40618237,8.08,3652804,267.76,142.8,1048.14,1770.3,24632.59,44781000,5.79,68.64,541.18,1240.41,7399.09,47639.24,37927.89,46362.79,51911.52,71.79,9.83,39.95,17011.34,0,5,1,11.2,7.44,0.6,191.03,5.5,43.9
Armenia,1.838,1.805,0.034,10.793,102.93,2.8,1.93,562,2963000,0.76,100.77,75.09,4.68,35.7,9588,16.34,18.23,52.96,5.5,62.41,1849202,36.49,1081248,173,187.16,869.76,1698.08,25136.06,2958000,5.06,4.38,12.66,481.54,1135.04,6581.75,3779.63,8436.62,4871.94,1.62,0.71,0.31,2629.64,94.04,4.2,1,11.23,7.57,1.8,341.01,7.11,53.6
Australia,0.107,0.103,0.004,31.119,3.2,3.44,16.9,534,25500000,0.94,98.52,83.44,9.62,37.9,44783,23.68,5.59,50.18,10.6,82.87,21131467,13.6,3467466,286.72,138.4,1357.65,1493.23,19037.63,25203000,7.18,5.67,57.88,38.11,1714.45,20074.71,19912.51,26022.29,21559.35,1.67,0.57,0.24,4884.05,0,3.84,1,15.5,10.13,0.5,107.79,5.07,29.5
Austria,0.584,0.575,0.009,19.508,106.75,5.06,8.01,1110,9006000,0.91,98.52,81.54,11.41,44.4,45010,28.78,5.5,50.97,11.6,56.82,5117624,40.99,3691588,251.44,173.4,1533.96,1809.2,18620.94,8955000,7.4,6.28,8.64,53.59,942.84,14462.03,9148.49,18457.85,11502.31,0.7,0.11,0.52,3488.95,0,7.37,2,19.2,13.75,0.7,145.18,6.35,59.3
Azerbaijan,0.407,0.401,0.006,11.461,119.31,3.4,3.89,447,10139000,0.76,100.81,73.01,6.24,32.4,15296,8.51,5.03,50.19,0.8,53.83,5458164,43.44,4404265,120.32,252.28,533.43,2211.97,34532.29,10048000,5.17,86.75,67.6,1628.94,3011.19,17246.71,11781.98,24381.96,12216.66,12.38,16.13,74.65,6338.63,83.24,4.7,1,6.02,3.87,0,559.81,7.11,42.8
Bahrain,4.373,4.357,0.016,89.283,1935.91,0.94,23.08,83,1702000,0.85,96.72,77.29,5.18,32.4,39773,3.04,1.2,37.27,1.9,78.21,1331176,9.48,161408,120.32,252.28,533.43,2211.97,21249.86,1641000,5.17,1.19,3.65,1.76,105.2,990.82,854.63,642.28,329.06,1.13,0.06,0.38,406.69,0,2,2,2.37,1.39,0,151.69,16.52,43.4
Bangladesh,0.227,0.224,0.003,1.245,1265.04,0.48,0.53,2666,164689000,0.61,62.49,72.59,3.02,27.5,3250,7.66,4.37,49.57,0,35.85,59047279,64.13,105622472,39.68,183.68,269.37,1957.27,33089.66,163046000,4.5,17744.99,16129.92,70345.13,22897.58,109116.44,38771.29,157570.75,90795.06,1314.36,294.76,1240.34,122734.26,34.81,0.8,2,5.1,3.26,14.8,298,8.38,45.7
